driverId,week,hours-logged,miles-logged
80,46,76,600
30,29,59,3600
46,15,76,2200
11,40,80,3700
80,22,71,1800
31,45,73,2600
108,36,65,2000
85,41,53,2800
50,48,69,2700
44,18,51,200
26,44,53,2000
61,49,70,4000
87,15,80,1300
24,36,80,2000
54,42,60,1600
40,49,58,2500
42,6,61,4000
81,22,53,3100
100,30,75,3500
44,18,52,2500
67,43,60,3200
92,14,71,1700
15,33,60,4000
50,14,80,900
82,5,80,3900
102,41,77,100
90,29,73,2900
71,30,80,2600
101,30,79,1800
102,42,55,100
106,50,53,600
94,35,61,3400
51,48,66,2200
34,47,62,4000
41,49,80,2500
39,52,74,2100
79,21,76,1200
41,28,57,2200
46,12,62,3400
48,11,70,700
75,10,78,1700
33,47,61,2000
102,15,78,100
13,47,68,3600
103,35,71,1800
64,40,78,300
18,42,68,2200
101,37,64,900
32,3,63,500
100,21,65,1900
109,21,73,3000
93,44,67,2500
102,28,65,2500
99,34,77,2000
17,10,67,300
49,32,61,0
21,18,78,3900
106,34,53,3000
14,19,59,1900
49,5,80,2000
79,46,79,2800
32,3,70,900
11,33,55,300
15,38,71,2300
41,50,78,1800
62,43,59,2100
34,30,79,1500
22,32,62,2200
18,38,66,1900
18,42,54,2600
97,29,55,3600
72,8,56,3300
65,49,52,3800
37,22,76,1900
98,21,56,3700
35,38,61,2200
86,44,60,2700
94,21,54,2400
60,27,54,600
22,5,76,700
27,9,78,1000
95,32,56,900
100,8,50,3400
93,22,75,2200
12,23,53,2000
103,48,67,400
42,10,78,3700
85,27,66,0
80,49,56,1600
58,16,78,400
106,43,65,1500
25,15,74,400
48,9,53,1900
70,6,54,2600
42,23,52,2800
57,49,65,1200
101,29,60,2500
65,20,76,1800
77,7,65,100
62,24,69,800
100,30,65,3000
11,39,76,700
35,1,80,3400
83,39,69,3000
70,13,73,1800
48,4,50,4000
43,10,64,800
83,22,50,1400
37,28,62,2800
17,16,78,2300
80,48,58,3200
91,19,76,3400
12,10,55,3500
48,41,60,3900
95,42,68,2900
15,41,54,900
48,6,75,2300
92,42,75,3300
63,1,55,600
13,15,53,2200
18,18,50,3600
81,9,58,700
43,51,66,100
74,15,76,3600
15,40,78,1100
98,18,53,700
60,37,73,1800
100,27,54,700
103,11,55,3900
26,5,63,500
29,35,70,3200
78,44,70,2700
53,20,57,3300
11,49,67,3600
107,26,57,3000
73,29,53,600
15,47,80,1400
42,12,50,3800
35,43,60,2900
56,30,73,3800
18,25,57,2900
100,36,57,3900
75,21,63,200
15,20,70,3200
89,37,73,1300
99,3,69,2300
20,16,51,2400
54,23,80,2000
37,51,75,2000
42,29,79,3500
73,45,67,100
50,43,69,3500
102,22,58,700
94,22,50,3000
99,28,63,2400
70,8,63,2800
58,35,66,500
17,27,75,2800
42,21,66,200
85,27,78,3800
10,37,57,3700
96,49,71,3700
52,37,80,2700
32,26,74,3600
14,23,71,2900
68,37,61,1100
26,12,57,800
79,12,67,2600
53,32,78,2900
27,11,73,3200
84,25,61,3100
16,52,76,2600
100,36,72,1200
70,6,68,3600
15,25,64,3500
92,37,71,3800
86,33,70,2800
14,4,78,3600
61,40,76,3100
109,27,73,3800
27,27,54,3800
43,52,73,2100
98,51,80,1200
19,19,50,2100
96,3,64,900
52,40,50,2100
15,15,52,3000
43,12,73,4000
44,50,70,3800
95,45,80,1400
40,8,50,1200
57,17,79,2900
90,23,52,1200
13,16,76,4000
105,11,71,200
73,24,73,3900
91,34,53,1100
64,14,67,0
37,23,73,3300
46,15,63,600
14,51,55,3400
97,47,57,300
73,6,69,4000
69,18,52,0
62,22,78,2300
12,6,56,2800
66,30,78,2800
28,29,55,100
42,20,69,2900
69,48,54,1300
67,14,62,3400
104,27,66,1600
17,17,70,300
71,27,61,800
25,46,56,2300
64,37,72,3800
58,25,59,2700
48,39,50,2400
40,23,50,2500
40,47,80,1700
40,30,51,1500
66,36,77,1800
19,44,68,1900
37,26,51,2000
31,6,61,1000
103,49,58,1900
74,11,80,900
82,28,56,3700
30,38,69,1900
93,13,72,400
76,21,71,1600
99,43,66,1600
96,37,75,600
94,48,54,1000
25,52,64,2700
79,26,71,3100
88,26,65,600
93,52,65,2500
37,11,73,1200
29,2,64,3500
64,43,55,2600
32,21,77,2500
25,35,73,200
15,22,58,500
40,17,79,3500
44,1,70,2900
42,52,63,1300
40,45,52,1400
86,1,52,1200
109,17,68,2100
71,2,53,600
43,43,68,2800
70,52,56,800
95,9,53,100
73,51,61,1900
41,13,80,1600
57,2,78,800
38,4,64,300
56,7,68,1500
75,37,74,2700
78,38,56,400
99,49,58,2300
45,24,68,3600
47,24,79,3400
67,43,64,2800
94,21,51,3000
71,18,50,2800
75,49,51,4000
108,31,52,200
97,10,74,3900
96,30,80,3100
42,43,53,1200
101,29,61,2000
64,48,57,2300
69,45,80,3500
40,4,53,2500
62,27,59,3500
24,19,75,3200
11,44,74,2100
80,24,74,2200
57,33,68,600
109,33,56,1600
26,41,68,500
95,28,56,1300
52,50,74,300
71,36,73,1200
41,3,61,500
77,32,58,1600
49,51,67,4000
88,43,54,700
27,29,72,4000
61,4,52,2500
14,9,72,2900
47,52,50,2900
81,3,79,2000
49,44,76,1900
14,16,64,3700
89,39,63,100
86,31,79,3300
44,8,69,1300
101,18,64,2200
24,23,61,1500
14,42,72,3100
106,43,53,3900
65,9,52,3500
10,47,66,2800
42,43,52,1900
74,43,69,2200
50,14,63,1500
59,7,62,1500
107,36,65,2400
35,24,61,3800
92,44,65,1400
27,32,77,2500
64,12,77,2400
27,46,60,4000
41,44,77,1500
82,52,57,1600
70,6,66,1600
63,50,69,2600
37,18,74,1700
66,32,62,3000
55,20,70,2000
85,26,53,3100
78,38,79,1400
45,23,66,1000
43,52,68,3300
28,43,69,800
21,22,66,2700
45,14,78,3600
96,47,68,1300
82,9,53,2800
74,31,59,3900
65,17,69,3500
103,19,68,0
89,41,70,3900
98,29,74,200
89,20,56,200
32,48,58,700
27,49,60,3500
41,3,50,1600
99,46,65,1000
18,52,75,2300
104,45,68,4000
76,19,69,2000
21,32,68,100
47,39,78,1400
53,50,63,0
58,49,54,800
20,50,50,2200
87,15,69,2300
79,19,64,900
73,26,73,1700
10,16,65,800
25,15,68,3400
44,48,53,1700
70,37,63,2300
11,52,59,2300
70,37,80,300
63,1,52,2600
20,52,73,3600
45,49,63,2800
97,30,70,3500
52,10,63,100
107,25,69,100
56,31,63,1600
31,24,60,3400
16,33,61,200
60,12,58,2800
33,48,78,3200
90,19,69,2200
27,16,77,1300
52,40,76,1400
77,21,57,1500
80,13,67,3900
12,10,68,100
54,41,65,1400
68,16,80,2700
84,50,69,3800
61,19,67,1400
74,44,59,300
53,12,54,1700
32,39,66,3400
101,41,75,2200
84,14,64,600
107,20,76,3200
48,30,55,400
99,20,71,2900
71,11,59,2600
96,17,53,3400
65,9,64,3000
48,50,72,4000
92,33,51,1800
36,52,65,1500
33,16,66,1000
52,27,64,3200
19,5,73,700
56,35,71,3600
21,50,51,1000
108,52,80,1900
26,13,74,4000
101,13,69,3400
38,30,70,4000
49,19,63,700
50,49,77,2600
78,40,59,2000
65,1,57,1100
10,26,59,100
42,19,57,2900
107,29,52,1400
69,14,67,1300
82,12,65,1200
65,47,61,3300
44,43,74,900
93,35,68,1100
36,32,67,3900
77,27,74,2900
101,38,54,100
20,44,53,1300
42,5,77,2100
75,31,62,1800
103,27,60,3100
91,1,65,3100
87,18,63,800
47,7,76,700
27,42,78,3600
88,43,61,2000
58,13,74,300
74,13,73,2200
45,46,71,3800
50,18,50,1200
83,13,73,2500
86,46,68,400
83,51,60,1600
85,17,73,900
17,36,65,200
38,37,68,600
36,47,55,1400
64,39,80,100
14,18,50,3700
79,37,56,2700
109,10,59,2700
102,7,66,2500
35,48,65,300
37,35,70,4000
88,20,53,100
76,10,63,2400
30,8,50,700
62,30,71,800
90,31,52,3600
39,38,73,2000
97,17,70,2900
90,7,56,0
38,6,60,2300
78,20,75,1000
52,44,70,4000
20,11,66,3600
52,37,69,3300
105,49,78,3100
30,35,68,2200
66,21,70,2500
105,20,79,2000
61,25,75,3700
38,26,76,3100
90,45,63,2300
21,52,61,3200
18,32,71,1300
49,51,65,2800
107,35,70,3500
81,31,80,1700
91,25,57,1500
22,25,60,0
40,49,51,2700
46,52,67,3000
66,40,72,3000
87,4,72,1100
36,8,62,400
98,13,52,800
87,23,80,1600
103,21,74,3700
63,43,55,1700
58,2,59,1800
28,51,69,1100
30,41,73,2800
25,35,68,1900
75,46,58,300
78,41,73,2600
17,32,77,900
53,41,68,4000
71,4,68,100
47,34,53,3500
48,51,75,2500
90,51,74,300
32,9,66,1700
69,13,51,3200
41,46,73,1400
76,7,65,1000
52,50,79,1000
27,20,78,300
55,44,69,4000
50,18,57,3600
51,25,53,1400
40,2,77,3500
35,8,57,3800
102,29,53,2000
29,4,51,2300
28,21,56,1700
68,25,52,800
84,17,76,1800
24,4,76,800
91,48,53,3400
91,30,69,3800
95,29,76,800
70,34,62,2200
22,9,54,3900
51,25,78,200
90,6,65,2900
75,22,58,200
33,11,57,3900
14,18,54,3800
69,47,71,600
95,20,75,2600
52,37,63,100
79,5,74,1200
65,12,57,500
67,20,57,3500
58,16,75,500
47,8,54,500
65,12,51,2300
109,10,75,1500
16,22,66,1600
33,45,65,3200
48,40,59,1900
49,21,78,700
34,22,65,3300
18,35,55,2600
72,45,64,800
77,30,78,2700
104,26,70,1500
31,34,68,900
75,1,75,400
82,16,66,1100
50,34,70,3200
37,23,69,3300
109,23,60,2000
99,45,77,600
31,47,52,4000
67,18,70,3500
30,26,51,3900
36,8,57,2900
45,1,69,4000
65,2,69,800
101,40,59,600
94,19,59,3600
61,7,78,300
11,44,59,2800
57,52,63,1200
89,17,79,2500
36,28,68,1500
95,27,78,2500
100,29,80,3100
56,31,66,3500
93,27,66,1100
16,2,73,2600
47,48,66,2800
82,7,70,3000
78,25,76,400
13,14,55,2700
73,26,62,2100
53,8,55,1100
68,6,67,2500
95,45,77,3100
70,45,77,2600
33,6,57,3300
35,49,77,0
45,6,79,3200
104,36,67,4000
74,9,70,200
59,52,76,900
75,34,74,2600
15,33,76,4000
102,40,69,800
11,20,50,0
96,27,62,3100
84,37,78,700
22,24,60,1200
45,42,76,2600
73,23,78,2300
96,45,53,500
107,36,77,1600
11,39,79,3300
100,43,53,3200
84,29,52,1900
80,3,56,2500
82,1,75,1300
64,17,52,3900
83,46,59,2800
27,41,77,500
10,46,54,1100
62,2,62,1500
70,3,52,1100
96,48,61,800
49,48,52,3400
99,45,54,400
79,44,75,600
64,47,59,1800
24,35,51,3800
25,12,75,2200
69,36,66,1100
83,48,62,2400
65,30,72,1000
55,2,76,1300
21,50,56,1900
50,34,75,1800
77,38,51,1500
89,40,54,200
88,36,54,3500
39,11,73,1600
82,25,69,2000
88,44,71,1100
99,11,77,1800
98,37,52,300
16,51,72,2200
44,32,71,3900
77,7,58,2100
73,34,66,3100
58,32,65,1100
72,5,62,2000
15,10,76,4000
87,49,73,3500
30,4,71,3700
91,25,70,3900
99,37,77,3700
36,27,77,1300
51,43,59,2300
77,34,60,2300
90,9,63,3400
108,1,76,1300
64,15,58,1400
96,14,71,1900
31,11,67,3000
52,10,76,1700
42,4,66,100
101,30,54,1800
78,35,74,2700
58,1,80,2300
19,40,73,3300
78,41,79,500
76,44,72,2700
78,6,67,400
26,50,57,900
75,20,62,0
53,27,77,1700
37,28,51,2100
92,2,77,3700
93,33,77,0
94,46,65,3600
100,38,76,2000
16,1,61,2400
32,41,56,3600
83,19,58,300
88,2,53,2600
31,42,66,2300
32,13,76,1500
57,51,58,2500
44,25,52,600
43,8,64,400
53,41,75,800
32,47,77,1200
43,45,72,3700
68,48,58,500
85,30,65,1000
79,38,68,3700
43,52,61,1700
98,48,69,600
10,38,70,2000
77,31,73,1700
28,31,67,1600
86,15,70,1200
52,12,68,3600
97,47,61,600
92,40,70,900
50,27,63,1700
46,40,56,1200
62,6,57,3400
13,35,50,3200
38,38,75,2300
22,31,77,3700
50,28,73,3800
94,26,65,3700
51,34,54,1500
79,48,62,1700
109,48,55,1300
28,13,75,3400
39,8,56,3800
101,30,73,3100
48,9,71,3500
21,25,61,3300
28,43,55,300
38,19,67,3200
49,8,70,1900
54,13,52,2100
72,15,74,2100
109,34,79,3000
88,23,59,500
11,50,78,900
54,10,76,2000
68,11,77,1900
23,49,62,2000
83,17,74,1800
23,36,57,2800
95,31,68,3900
40,13,68,400
68,22,76,2800
11,1,63,700
36,48,77,900
19,44,54,3800
26,50,77,2700
27,19,75,100
33,51,76,1500
26,36,73,2100
47,9,67,2000
22,26,62,3100
37,28,73,3100
29,37,74,100
41,14,66,2300
